track_id,name,artist,spotify_preview_url,spotify_id,tags,genre,year,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
TRUENYK128F4274057,Chop Suey!,System of a Down,https://p.scdn.co/mp3-preview/cd2a1f9fd7619bdae4e2e718b11d5bb054a3d677?cid=774b29d4f13844c495f206cafdad9c86,0EIIqshB4doby2sMQpeqGN,"rock, alternative, metal, alternative_rock, hard_rock, nu_metal",Metal,2008,210480,0.42,0.925,7,-4.217,0,0.12,0.000363,0.002,0.1,0.322,127.422,4
TRXNTMB12903CA884A,Fix You,Coldplay,https://p.scdn.co/mp3-preview/b1640815319b2df5ddfac27a28f016319a281468?cid=774b29d4f13844c495f206cafdad9c86,0Kk4dfh9Kq7Okg4T58IBVR,"rock, alternative, indie, pop, alternative_rock, british, love, beautiful, britpop, mellow",,2016,295826,0.213,0.416,3,-8.683,1,0.0336,0.164,0.00168,0.11,0.129,138.478,4
TRREXPI128E078EE14,Lithium,Nirvana,https://p.scdn.co/mp3-preview/e346fce09e0dc8858d279bb42d5bf41bd9e603bb?cid=774b29d4f13844c495f206cafdad9c86,07hCnHx9DhqZg5eN6RvCbd,"rock, alternative, alternative_rock, 90s, grunge",,1991,257053,0.678,0.656,7,-6.41,1,0.0381,0.00174,0.0,0.0631,0.485,123.207,4
TRAJBOD128F9303DCD,Song 2,Blur,https://p.scdn.co/mp3-preview/183c0855e94b58dcb267e2b0721d4a3c99260acf?cid=774b29d4f13844c495f206cafdad9c86,0g0VHJLFYFN3yHZImyQhPA,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, britpop",,2012,122080,0.676,0.723,8,-5.127,1,0.131,0.00227,0.0199,0.0897,0.779,129.7,4
TRFNTDZ128F426B34D,In the End,Linkin Park,https://p.scdn.co/mp3-preview/6ce8bcf317e8c562f348ea22c846846b5b70e8d9?cid=774b29d4f13844c495f206cafdad9c86,138JuTi1U3WIROalXod9FB,"rock, alternative, metal, alternative_rock, nu_metal",,2000,216933,0.542,0.853,3,-6.407,0,0.0498,0.0103,0.0,0.108,0.37,105.256,4
TRCSXPV128F425E2F7,Chasing Cars,Snow Patrol,https://p.scdn.co/mp3-preview/f6718903c52c507068a15158552eab1f4d8da28f?cid=774b29d4f13844c495f206cafdad9c86,01Jvw9zNg5LM2RF8WNfnLy,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, love, beautiful, britpop, mellow",,2006,265573,0.558,0.568,9,-5.731,1,0.0267,0.211,5e-05,0.104,0.125,104.0,4
TRDKPRZ128F92F37EA,Otherside,Red Hot Chili Peppers,https://p.scdn.co/mp3-preview/fe298962db3331e8523c714490c678be5313809a?cid=774b29d4f13844c495f206cafdad9c86,0lfH1VLbnBywPOmIMit60M,"rock, alternative, alternative_rock, 90s, funk",,2014,255400,0.459,0.795,0,-3.265,1,0.0575,0.00316,0.000202,0.0751,0.513,123.23,4
TRIQRZJ128F14898B4,When You Were Young,The Killers,https://p.scdn.co/mp3-preview/8c8377ba2344ad94b74122033b070adcd361bdb2?cid=774b29d4f13844c495f206cafdad9c86,028sncWcELBmNBE6RYSRxh,"rock, alternative, indie, alternative_rock, indie_rock",,2012,218053,0.466,0.981,8,-3.944,0,0.112,0.000124,0.0683,0.323,0.313,130.403,4
TRRPNNQ12903CB411A,Supermassive Black Hole,Muse,https://p.scdn.co/mp3-preview/7ab3e38ce1671da3a185d8685981983a6f39b7bd?cid=774b29d4f13844c495f206cafdad9c86,0v6Mi3f552jMW6dhYoKAbC,"rock, alternative, indie, alternative_rock, indie_rock, progressive_rock, british",,2010,209546,0.667,0.891,7,-5.126,1,0.0445,0.0397,0.00715,0.284,0.837,120.01,4
TRRSVFJ128F426FB31,Bohemian Rhapsody,Queen,https://p.scdn.co/mp3-preview/d1ff0ba5c5538ca2c50b808aab2278253c98b038?cid=774b29d4f13844c495f206cafdad9c86,0LiLzOhHCyGnCX1znFrtul,"rock, classic_rock, hard_rock, 80s, british, 70s",,2016,356086,0.405,0.405,0,-9.259,0,0.051,0.133,2.23e-06,0.259,0.228,141.173,4
TRWEHTV12903D086FC,Use Somebody,Kings of Leon,https://p.scdn.co/mp3-preview/c1f5819057f7528777163bf7d75bf8609553c5be?cid=774b29d4f13844c495f206cafdad9c86,03BednbxXIA23kUtR5HMQ9,"rock, alternative, indie, alternative_rock, indie_rock",Electronic,2003,230960,0.276,0.755,0,-5.406,1,0.046,0.00583,0.000543,0.183,0.194,137.149,4
TRLSLNY128F93265C9,Starlight,Muse,https://p.scdn.co/mp3-preview/f7a1b8a270f310e43ced2720c9af5f29f6476b79?cid=774b29d4f13844c495f206cafdad9c86,0hlK03xCSPtLSFJdlZM2kZ,"rock, alternative, indie, alternative_rock, indie_rock, progressive_rock, british, beautiful, britpop",,2006,243293,0.555,0.88,1,-3.888,0,0.0312,0.000212,0.000198,0.127,0.266,121.57,4
TRIQWYH128F1486062,Paranoid Android,Radiohead,https://p.scdn.co/mp3-preview/d68bd7fa4f0bd86ec2ebbd7ac73c2716a00a3486?cid=774b29d4f13844c495f206cafdad9c86,0bomiLGPTUNyk3mV19pbwN,"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, progressive_rock, british, 90s, britpop",Jazz,2012,384933,0.232,0.8,5,-6.863,1,0.0573,0.0523,0.00606,0.118,0.299,81.849,4
TRXZBFS128F92F24D2,Everlong,Foo Fighters,https://p.scdn.co/mp3-preview/26f7feca8e14f27659465e336117c03fb8ee29d4?cid=774b29d4f13844c495f206cafdad9c86,07q6QTQXyPRCf7GbLakRPr,"rock, alternative, alternative_rock, hard_rock, 90s, grunge",,2009,249986,0.415,0.867,11,-5.497,0,0.0387,5.69e-05,0.000192,0.0883,0.36,157.902,4
TRAGABG12903CEC68B,No Surprises,Radiohead,https://p.scdn.co/mp3-preview/de1369604de29117d80cfe277054c5d0d11ef732?cid=774b29d4f13844c495f206cafdad9c86,0ijMYjXk5iRZp2VsiC8MC8,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, beautiful, britpop, mellow",,2008,229120,0.255,0.393,5,-10.654,1,0.0278,0.0577,0.00361,0.113,0.118,76.426,4
TRBBHPO128F930F55D,Iris,Goo Goo Dolls,https://p.scdn.co/mp3-preview/0e87ade9fa869e31b3c32115c2c10ee8fa522c81?cid=774b29d4f13844c495f206cafdad9c86,0Ik6qKLeS741z2Xl2oy0YS,"rock, alternative, pop, alternative_rock, soundtrack, 90s, love, beautiful",,2013,289533,0.315,0.715,11,-8.072,0,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,3
TRXCXKA128F92E6258,Numb,Linkin Park,https://p.scdn.co/mp3-preview/e6ccf7717f8a167bfea4afc1bf7da1a0cd707fbb?cid=774b29d4f13844c495f206cafdad9c86,0kO3njY9N1Rxgv27Ha1lLh,"rock, alternative, metal, alternative_rock, nu_metal",,2003,185586,0.496,0.863,9,-4.153,1,0.0381,0.0046,0.0,0.639,0.243,110.018,4
TRLQLBZ128F42A70F4,Zombie,The Cranberries,https://p.scdn.co/mp3-preview/9a8fd2539aea02586dabd6cea3ab9059b532459b?cid=774b29d4f13844c495f206cafdad9c86,01vQXuDFQPIizZb7XE3BqN,"rock, alternative, female_vocalists, alternative_rock, 90s",,2007,307400,0.311,0.664,7,-7.684,1,0.0357,0.0202,0.00419,0.374,0.265,166.821,4
TRJLKMS128F1494A77,Dani California,Red Hot Chili Peppers,https://p.scdn.co/mp3-preview/87d4f1047475a73d44731914bca0b883cc1d5876?cid=774b29d4f13844c495f206cafdad9c86,0BWx4WKgUXKHj8npThsbcH,"rock, alternative, alternative_rock, funk",,2006,282160,0.556,0.913,0,-2.36,1,0.0437,0.0193,8.59e-06,0.346,0.73,96.184,4
TRUOEWJ128F9345A85,Stairway to Heaven,Led Zeppelin,https://p.scdn.co/mp3-preview/6879ce58805099f68ee59fe687dd5d7aa6e1585c?cid=774b29d4f13844c495f206cafdad9c86,03hLW9osM6UuNqlpwL8XPo,"rock, classic_rock, hard_rock, progressive_rock, 70s",Punk,2013,488019,0.354,0.361,9,-12.722,0,0.0509,0.625,0.0112,0.35,0.212,80.36,4
TRJVKZX128F4236A44,Welcome to the Jungle,Guns N' Roses,https://p.scdn.co/mp3-preview/80a4f151e65749cb4170609c0a5ee505f7c1601a?cid=774b29d4f13844c495f206cafdad9c86,0Aau2Ju1RoLAhL90zRcDx4,"rock, metal, classic_rock, hard_rock, 80s, heavy_metal",,2014,377386,0.272,0.91,8,-9.59,1,0.254,0.106,0.0229,0.523,0.154,130.139,4
TRUTNPC128F9300385,Clint Eastwood,Gorillaz,https://p.scdn.co/mp3-preview/20e27bbc6c7dd769fc5245d2ef6da78e2ad99549?cid=774b29d4f13844c495f206cafdad9c86,04ucB3K9gVnynVBkDMdd0T,"rock, electronic, alternative, indie, pop, alternative_rock, british, rap, hip_hop, trip_hop, 00s",,2012,337720,0.659,0.712,10,-7.602,0,0.173,0.0249,0.0,0.0801,0.556,167.948,4
TRCPUIV128E079280D,Paint It Black,The Rolling Stones,https://p.scdn.co/mp3-preview/b3ee20e3dbbee530ec004f84031da026beebb300?cid=774b29d4f13844c495f206cafdad9c86,0hBZCHzVNvboVLWS7aNKRO,"rock, classic_rock, british, 60s",,1971,202106,0.456,0.793,11,-9.17,0,0.098,0.0486,0.00205,0.376,0.615,158.787,4
TROIDPM12903CBDB4D,Reptilia,The Strokes,https://p.scdn.co/mp3-preview/8894d33d94ef1135ce87e0ac8058a6425e91e4c9?cid=774b29d4f13844c495f206cafdad9c86,2hmibAtdObO8F4tnhLENuQ,"rock, alternative, indie, alternative_rock, indie_rock, post_punk, 00s",,2003,219826,0.488,0.65,9,-5.11,1,0.0336,0.000597,0.714,0.101,0.77,158.011,4
TRIPMMN12903CF4B8A,The Pretender,Foo Fighters,https://p.scdn.co/mp3-preview/6aba2f4e671ffe07fd60807ca5fef82d48146d4c?cid=774b29d4f13844c495f206cafdad9c86,0FTZhIxKaX6HqJA0MvGR16,"rock, alternative, alternative_rock, hard_rock, grunge",,2007,269320,0.433,0.958,9,-4.063,1,0.0433,0.000895,0.0,0.0237,0.359,172.969,4
TRIWYMW128F145E0F9,All These Things That I've Done,The Killers,https://p.scdn.co/mp3-preview/3678a4052d850a79de958169e147183492b5c479?cid=774b29d4f13844c495f206cafdad9c86,07ygRsnqBqNFfdpmH3BeOV,"rock, alternative, indie, alternative_rock, indie_rock, 00s",,2013,303213,0.548,0.751,6,-5.077,1,0.0418,0.00219,1.9e-05,0.142,0.219,118.267,4
TRAOMFT128F42A7684,Losing My Religion,R.E.M.,https://p.scdn.co/mp3-preview/7e795b53f58d926a094c2f009f1d0db584dc8a3d?cid=774b29d4f13844c495f206cafdad9c86,04pRvt8HcPmmP6EeZoYMxa,"rock, alternative, indie, pop, alternative_rock, classic_rock, 90s",Pop,2014,288160,0.668,0.736,9,-10.753,0,0.0277,0.0115,0.000259,0.337,0.629,126.978,4
TRFOPON12903CDF30E,Paranoid,Black Sabbath,https://p.scdn.co/mp3-preview/c3c74a5d2214f66307037df432d0ba2480e708fe?cid=774b29d4f13844c495f206cafdad9c86,01dw6mDc9xJMoEPasHaV7Y,"rock, metal, classic_rock, hard_rock, heavy_metal, 70s",,2010,166546,0.413,0.772,4,-8.626,0,0.0778,0.0017,0.233,0.232,0.492,163.073,4
TRXENSY128F4286505,Time Is Running Out,Muse,https://p.scdn.co/mp3-preview/b326e03624cb098d8387e17aa46669edac0d025a?cid=774b29d4f13844c495f206cafdad9c86,0bAng0CKxaDaXiLDNca9cc,"rock, alternative, indie, alternative_rock, indie_rock, progressive_rock, british",,2003,236226,0.575,0.854,9,-5.748,0,0.0527,0.00246,0.00206,0.122,0.443,118.225,4
TRSXCET128F92EB269,I Kissed a Girl,Katy Perry,https://p.scdn.co/mp3-preview/29414f20ba1659e9f54612e358d881861aa90c2d?cid=774b29d4f13844c495f206cafdad9c86,005lwxGU1tms6HGELIcUv9,"rock, pop, female_vocalists, dance, pop_rock",,2008,179640,0.699,0.76,5,-3.173,1,0.0677,0.00223,0.0,0.132,0.696,129.996,4
TRNNGMK128F423F034,Where Is My Mind?,Pixies,https://p.scdn.co/mp3-preview/d4a375a9c19d4ea8083658b58402926d6990499b?cid=774b29d4f13844c495f206cafdad9c86,0DJU6KGwdkxEPCy3BZ3UZY,"rock, alternative, indie, alternative_rock, indie_rock, 80s, soundtrack",Rock,2005,230093,0.514,0.435,4,-13.517,1,0.0353,0.0078,0.000859,0.0802,0.212,82.104,4
TRAALAH128E078234A,Bitter Sweet Symphony,The Verve,https://p.scdn.co/mp3-preview/3debe861147de110f5e72e6badd5aaa63247f2d4?cid=774b29d4f13844c495f206cafdad9c86,0jLnevC3Vn34qVWrAa4X6x,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, chillout, soundtrack, 90s, beautiful, britpop",,1999,358333,0.383,0.907,9,-5.409,1,0.0405,0.0313,0.0,0.347,0.514,171.052,4
TRQFICK128F92F5190,Toxicity,System of a Down,https://p.scdn.co/mp3-preview/89e93c71655e81579d011e4521f7b6e9db173834?cid=774b29d4f13844c495f206cafdad9c86,0snQkGI5qnAmohLE7jTsTn,"rock, alternative, metal, alternative_rock, hard_rock, nu_metal",,2001,218933,0.413,0.873,8,-4.151,1,0.0536,0.000264,0.00249,0.204,0.48,116.68,3
TRVRWFY128F4286EF9,Basket Case,Green Day,https://p.scdn.co/mp3-preview/a66864fcfd8923c6084fc2000e3086e4e1e0a657?cid=774b29d4f13844c495f206cafdad9c86,2WtF8X3W7iHPF2KaJGUCuO,"rock, alternative, alternative_rock, punk, punk_rock, 90s",Rock,2017,181533,0.442,0.943,3,-3.205,1,0.0602,0.00293,8.71e-06,0.091,0.781,85.064,4
TRADPIA128E078EE1B,Heart-Shaped Box,Nirvana,https://p.scdn.co/mp3-preview/72b22eeda1014182e399a6486786bb66e6a8c11f?cid=774b29d4f13844c495f206cafdad9c86,0FMu3Z1yvTJKLWgxG6ZLS5,"rock, alternative, alternative_rock, 90s, grunge",Rock,2007,278520,0.609,0.842,0,-5.861,1,0.0342,0.0044,0.0116,0.353,0.459,115.158,4
TRFKBXC128F4243FFD,By the Way,Red Hot Chili Peppers,https://p.scdn.co/mp3-preview/1b6ca5843bd21973cbb2c2410616dd10564e91da?cid=774b29d4f13844c495f206cafdad9c86,1f2V8U1BiWaC9aJWmpOARe,"rock, alternative, alternative_rock, funk",,2002,216933,0.451,0.97,0,-4.938,1,0.107,0.0264,0.00355,0.102,0.198,122.444,4
TRCYMBL128F4289BC1,I Will Follow You Into The Dark,Death Cab for Cutie,https://p.scdn.co/mp3-preview/3ec4d60fbf25011995a35e3b516f5b5ceaae1906?cid=774b29d4f13844c495f206cafdad9c86,05LxlxqXeHh8Chl0ro8KHQ,"rock, alternative, indie, indie_rock, acoustic, emo, love, beautiful, mellow",,2015,189186,0.517,0.206,5,-12.233,1,0.0421,0.924,0.0,0.118,0.489,80.401,4
